u,v,Dij
10,37,0.04663693794128577
10,38,0.04651741293532338
10,39,0.043601895734597156
10,40,0.046341463414634146
10,49,0.04107736301105186
10,51,0.04817155288511343
10,52,0.046303137776464214
10,54,0.04462474645030426
10,56,0.04964539007092199
10,57,0.050229057591623036
10,58,0.048994974874371856
10,66,0.04503368832862421
10,67,0.04834143475241707
10,70,0.04485891917742707
10,73,0.048268569918054456
10,80,0.04772835963653754
10,87,0.04501780227283812
10,90,0.04981649395509499
10,93,0.04945086539014433
10,96,0.044811095169775224
10,97,0.04893910168090383
10,99,0.04673895625233695
10,101,0.045431761221234906
10,103,0.045995241871530534
10,109,0.05084343074364457
10,112,0.046788263283108644
10,116,0.044676388821148126
10,119,0.0475021815008726
10,124,0.05068294100552165
10,128,0.04587064676616916
10,129,0.04751439037153323
10,130,0.04722582037996546
10,131,0.046315077755240026
10,135,0.04891365529663402
10,143,0.049623368408947155
10,153,0.04764702740238235
10,161,0.04651403708691598
10,162,0.04864585130239779
10,167,0.05082872928176796
10,170,0.050043591979075853
10,172,0.047112867902355644
10,176,0.04899085734000345
10,177,0.04880108071597433
10,180,0.04811975551641977
10,183,0.04609547249141158
10,185,0.050293772032902466
10,187,0.051222002041674174
10,192,0.04732332815824277
10,194,0.04886561954624782
10,201,0.04667952604023147
10,223,0.049171270718232046
10,224,0.04636226252158895
10,227,0.04910585935253867
10,236,0.04945086539014433
10,242,0.048067422260970646
10,246,0.05130228887134965
10,253,0.05174953959484346
10,259,0.04933586337760911
10,264,0.049360475589983785
10,272,0.05015518311607697
10,277,0.05082872928176796
10,281,0.05111633372502938
10,293,0.04784419678036699
10,295,0.049905895209762616
10,305,0.04722949389179756
10,310,0.05071872449940368
10,312,0.05020116495526332
10,313,0.04870677128741645
10,325,0.048412788713164186
10,327,0.05008803351344788
10,337,0.047229184071289336
10,342,0.050634448424503674
10,344,0.04767533490937746
10,361,0.0510862818125388
10,374,0.049055507120023246
10,385,0.04858345659346911
10,393,0.048813065387651025
10,430,0.050705954573357886
10,434,0.048013340233454084
10,435,0.0514021497628055
10,437,0.04888008166696691
10,442,0.05076734192756292
10,448,0.04900117508813161
10,464,0.05110137751539389
10,467,0.048707403055229144
10,473,0.04982373678025852
10,492,0.05170701427684668
10,499,0.048707403055229144
10,502,0.050513022888713496
10,505,0.05147197288305819
10,509,0.05197012931819562
